title,body,date,source,sentiment_score,article_type,sectors,tickers,positive_market_impact
"МТС продлевает дополнительный выкуп у нерезидентов до 2,89% акций до 27 сентября","По итогам предыдущего тендерного предложения ООО «Стрим Диджитал» приобрело около 1,31% акций МТС на общую сумму 2,49 млрд рублей",2024-09-20,finam,-0.5,finance,['Financial Service'],"['EURRUB', 'USDRUB']",0.0
ФАС одобрила передачу активов Russ в объединенную компанию с Wildberries,Ведомство не выявило возможного ограничения конкуренции на рынке,2024-09-20,finam,1.0,finance,['Consumer Defensive'],['FIVE'],1.0
"ЦБ снизил официальный курс доллара на 21 сентября до 92,5848 рубля","Курс евро увеличен до 103,3773 рубля",2024-09-20,finam,0.0,finance,"['Financial Service', 'Industrials', 'Energy', 'Utilities', 'Basic Materials']",['no tickers'],0.0
Акции «Группы Астра» растут на решении «Сбера» отказаться от Citrix в пользу российской платформы,"«Сбербанк» намерен использовать инновационное решение Termidesk от компании «УВЕОН - облачные технологии», входящей в состав ПАО «Группа Астра»",2024-09-20,finam,-0.2,finance,"['Energy', 'Financial Service']","['MOEX', 'RTSI', 'UPRO', 'GAZP', 'ENRU']",0.0
«Газпром» досрочно выведет поставки газа в Китай по «Силе Сибири» на максимум,Поставки «Газпрома» в Китай по «Силе Сибири» на максимальный контрактный уровень ожидаются с декабря 2024 года,2024-09-20,finam,0.5,finance,"['Industrials', 'Technology']",['no tickers'],1.0
"X5 откроет в 2025 году 150 магазинов «ОКОЛО» в Татарстане, Чувашии и Марий Эл",Уже сейчас ведутся активные переговоры с потенциальными партнерами,2024-09-20,finam,0.1,finance,['Consumer Defensive'],['FIXP'],1.0
«Быки» не сдаются,"Среди «помогающих» рынку акций факторов в последние дни – глобальный фон и смягчение монетарной политики ведущими мировыми ЦБ, благодаря чему вырос спрос на сырьевые товары",2024-09-20,finam,0.1,technical analysis,"['Financial Service', 'Energy', 'Healthcare']","['GAZP.MM', 'IRAO.MM', 'NVTK.MM', 'PHST.MM', 'MGLB.MM']",1.0
«Элемент» инвестирует более 790 млн рублей в расширение производства,Новые мощности позволят запустить производство микроконтроллеров собственной разработки и других электронных компонентов,2024-09-20,finam,0.5,finance,['Financial Service'],['FIN'],1.0
"«РуссНефть» в 1 полугодии снизила добычу нефти на 8,8%","Показатель составил 2,991 млн тонн",2024-09-20,finam,0.2,finance,"['Healthcare', 'Energy', 'Financial Service']","['AKRN', 'GAZP', 'SNGS', 'MOEX']",1.0
Собрание акционеров «Татнефти» по дивидендам не состоялось из-за отсутствия кворума,Повторное собрание пройдет 26 сентября,2024-09-20,finam,-0.5,finance,"['Financial Service', 'Energy']",['no tickers'],0.0
Российский рынок демонстрирует рост в начале торговой сессии,Акции «ФосАгро» и «Яндекса» упали в связи с дивидендным гэпом,2024-09-20,finam,-0.5,finance,['Financial Service'],[],0.0
"Сервис «Бери заряд», который планировал IPO, может быть продан «Яндексу»",Ранее «Бери заряд» провел pre-IPO,2024-09-20,finam,0.5,finance,"['Energy', 'Consumer Defensive', 'Technology', 'Materials', 'Financial Service']","['MGNT', 'YNDX', 'AFKS', 'CHMF', 'SNGS']",1.0
В пятницу рынок будет тяготеть к снижению,Сдерживает рост акций ситуация на долговом рынке,2024-09-20,finam,0.0,finance,['Financial Service'],['TCS'],0.0
Частные инвесторы просят ЦБ устранить налоговый казус при сделках IPO,Покупатели акций на трех IPO в январе могут столкнуться с начислением НДФЛ на материальную выгоду по формальным основаниям,2024-09-20,finam,0.0,finance,['Energy'],['ENPL'],0.0
Власти обсуждают повышение взноса в бюджет при выходе иностранцев из бизнеса в России,Сейчас взнос составляет 15% от рыночной цены активов,2024-09-20,finam,-0.1,finance,"['Consumer Defensive', 'Industrials', 'Energy', 'Consumer Cyclical']","['MOEX', 'SBER', 'GAZP', 'LKOH', 'TATN']",0.0
Акции «Яндекса» войдут в базу расчета индекса МосБиржи - основные события 20 сентября,«Инвестиционная палата» закончит второй этап сбора заявок нерезидентов на обмен бумаг,2024-09-20,finam,0.5,finance,"['Technology', 'Financial Service', 'Communication Services']",[],1.0
США планируют ужесточить санкции против поставок российской нефти на мировой рынок,"Американские власти видят необходимость усилить работу как с точки зрения санкций, так и экспортного контроля в отношении России",2024-09-20,finam,0.5,finance,"['Industrials', 'Consumer Defensive', 'Basic Materials']",['FESH'],1.0
"Группа «ЮТэйр» нарастила пассажиропоток на самолетах за 8 месяцев на 4,5%","На вертолетах группы пассажиропоток вырос на 8,3%",2024-09-20,finam,0.1,finance,['Basic Materials'],['CHMF'],1.0
Акционеры «ЕвроТранса» объявили оферту на выкуп акций компании в 2027 году по 350 рублей,Может быть выкуплено до 20 млн акций,2024-09-19,finam,0.5,finance,['Energy'],['SCF'],1.0
"""Эффект пятницы"" будет сдерживать растущий настрой",Индекс МосБиржи в пятницу останется в рамках 2700-2800 пунктов,2024-09-19,finam,0.5,finance,"['Financial Service', 'Basic Materials', 'Energy']","['MOEX', 'BRFX']",1.0
«КИФА» сменила гендиректора,На должность избрана Ирина Афонина,2024-09-19,finam,-0.5,finance,"['Technology', 'Consumer Defensive', 'Financial Service', 'Industrials', 'Energy']",['no tickers'],0.0
"Минэнерго ожидает, что дивиденды «РусГидро» будет разрешено направить на развитие компании",У компании тяжелая финансово-экономическая ситуация,2024-09-19,finam,0.5,finance,['Basic Materials'],['CHMF'],1.0
"ЦБ повысил официальный курс доллара на 20 сентября до 92,6962 рубля","Курс евро увеличен до 103,2490 рубля",2024-09-19,finam,1.0,finance,['Energy'],[],1.0
ФАС одобрила сделку о приобретении ПАО «Инград» девелопером Sminex,"По мнению ФАС, данная сделка не приведет к ограничению конкуренции на рынке недвижимости",2024-09-19,finam,0.5,finance,"['Energy', 'Financial Service', 'Technology']","['BANE', 'SNGS', 'GAZP', 'ROSN', 'QIWI']",1.0
Международные резервы РФ выросли за неделю на $1 млрд,Объем международных резервов по состоянию на 13 сентября составил $617 млрд,2024-09-19,finam,0.5,finance,['Basic Materials'],['NLMK'],1.0
Московская биржа начнет торги фьючерсами на какао с 24 сентября,Базовый актив фьючерса – стоимость какао-бобов на зарубежных рынках,2024-09-19,finam,-0.2,finance,"['Consumer Defensive', 'Financial Service']",['KLVZ'],0.0
"Рисковые активы устремились вверх, российские «быки» подхватили глобальный настрой",На глобальных площадках аппетит к риску усилился после решения ФРС США снизить процентную ставку сразу на 50 б.п. впервые за 4 года,2024-09-19,finam,0.1,finance,"['Communication Services', 'Financial Service']",['MTSS'],1.0
"Акционеры «Черкизово» утвердили дивиденды за 1 полугодие в размере 142,11 рубля",Дивидендный реестр закрывается 29 сентября,2024-09-19,finam,0.5,finance,"['Financial Service', 'Technology']",['VTBR'],1.0
Почти все турецкие банки планируют прекратить сделки с Россией,Планируется передать сделки только одному местному финансовому учреждению,2024-09-19,finam,0.0,finance,"['Industrials', 'Financial Service']",['GLPR'],0.0
"""ЕвроТранс"" может выплатить дивиденды за 3 квартал в размере 8-10 рублей на акцию",Итоговые дивиденды могут составить 15 рублей,2024-09-19,finam,0.0,finance,['Industrials'],[],0.0
"Рынок акций открылся продажами, юань резко укрепляется",Лидируют бумаги золотодобытчиков,2024-09-19,finam,0.3,finance,"['Technology', 'Financial Service', 'Energy', 'Consumer Cyclical']","['CIAN', 'EMC', 'HHRU', 'QIWI', 'SFTL']",1.0
Российский рынок на распутье,Инвесторам лучше занять выжидательную позицию,2024-09-19,finam,0.1,finance,"['Financial Service', 'Energy']","['SBER', 'MOEX']",1.0
«Ростех» вернул себе контрольный пакет акций «АвтоВАЗа»,"Глава компании Соколов также допустил возможность проведения IPO, но отметил, что это зависит от соглашения с бывшими акционерами",2024-09-19,finam,0.0,finance,['Financial Service'],['SOFL'],0.0
Минэкономразвития прогнозирует рост курса юаня к рублю до 2027 года,"В 2024 году цена юаня будет колебаться в диапазоне от 12,6 до 13,4 руб. ",2024-09-19,finam,1.0,finance,['Technology'],['SFTL'],1.0
Кипрская Roemer Capital выставила оферту держателям расписок Ozon,"Брокер готов выкупить  до 1,1 млн акций за наличные по цене $23,5 за бумагу",2024-09-19,finam,-0.5,finance,"['Technology', 'Financial Service']",['YNDX'],0.0
Акции «Аэрофлота» с 20 сентября войдут в индекс наиболее ликвидных акций Мосбиржи,"В августе 2024 года «Аэрофлот» занял 11 место по объему торгов среди компаний, акции которых обращаются на Московской бирже",2024-09-19,finam,0.0,finance,"['Energy', 'Utilities', 'Industrials', 'Healthcare']","['ROSN', 'RSTI', 'ENPL', 'UPRO', 'UTAR']",0.0
Акции «Яндекса» последний день торгуются с дивидендами - основные события 19 сентября,"Акционеры «Татнефти» примут решение по дивидендам за 1 полугодие

",2024-09-19,finam,-0.1,finance,"['Financial Service', 'Energy', 'Industrials']",['no tickers'],0.0
«Медвежьи» настроения усиливаются,"Резко пошел вниз рубль – курс юаня оказался выше отметки в 13 рублей. Индекс гособлигаций RGBI просел до 102,3 пункта",2024-09-18,finam,-0.2,finance,['Energy'],['GAZP'],0.0
"Инфляция в России за неделю ускорилась до 0,10%, в годовом выражении снизилась до 8,74%","В секторе продовольственных товаров за неделю цены выросли на 0,06%",2024-09-18,finam,0.5,finance,"['Technology', 'Communication Services']",['YNDX'],1.0
«КИФА» развивает финансовые инструменты для работы с китайскими банками,У компании есть опыт организации платежей в китайские банки посредством цифровых активов,2024-09-18,finam,0.1,finance,"['Basic Materials', 'Energy', 'Financial Service', 'Communication Services']","['GAZP', 'QIWI', 'NLMK', 'CHMF']",1.0
Годовая инфляция в августе замедлилась в 51 регионе России,Наиболее значительное замедление наблюдалось в Приморском крае и Калининградской области,2024-09-18,finam,0.5,finance,['Financial Service'],['QIWI'],1.0
"Инфляционные ожидания россиян в сентябре снизились до 12,5%","Наблюдаемая инфляция уменьшилась до 14,4%",2024-09-18,finam,0.0,finance,['Utilities'],['RSTI'],0.0
"ЦБ повысил официальный курс доллара на 19 сентября до 91,6712 рубля","Курс евро увеличен до 102,039 рубля ",2024-09-18,finam,0.5,finance,['Energy'],['GAZP'],1.0
Юань достиг 13 рублей,На этом уровне курс юаня оказался впервые с 18 апреля,2024-09-18,finam,0.0,finance,['Energy'],['GAZP'],0.0
Акционеры «Банка «Санкт-Петербург» утвердили дивиденды за 1 полугодие,"Дивиденды составят 27,26 рубля на одну обыкновенную акцию, а также 0,22 рубля на одну привилегированную бумагу",2024-09-18,finam,-0.2,finance,"['Energy', 'Financial Service']",['GAZP'],0.0
ЦБ полностью переходит к электронной регистрации правил доверительного управления ПИФ для неквалов,"Это позволит избавить участников финансового рынка от затрат, связанных с подготовкой, пересылкой и последующим хранением бумажных документов",2024-09-18,finam,0.5,finance,['Financial Service'],['VTBR'],1.0
На рынок вернулась коррекция,Главное событие текущей недели – заседание ФРС,2024-09-18,finam,-0.2,finance,['Energy'],['GAZP'],0.0
«Сбербанк» приостановил выдачу семейной ипотеки из-за исчерпания лимита,"Клиентам, которые уже записались на сделку, «Сбербанк» выдаст ипотечные кредиты в штатном режиме",2024-09-18,finam,0.3,finance,"['Financial Service', 'Consumer Cyclical', 'Industrials']",['no tickers'],1.0
Россия обеспечена запасами меди более чем на 90 лет,"Глава Минприроды сообщил, что запасы пяти крупнейших российских месторождений меди оцениваются в 62,2 млн тонн",2024-09-18,finam,0.1,finance,"['Basic Materials', 'Consumer Defensive']",['no tickers'],1.0
"«Татнефть» снизила добычу нефти в 1 полугодии до 13,66 млн тонн",Добыча газа «Татнефть» упала до 430 млн куб. метров,2024-09-18,finam,-0.2,finance,['Basic Materials'],[],0.0
