perfume_name,brand,rating,votes,top_notes,middle_notes,base_notes,reviewer,review_date,review_text,sentiment_raw,label,confidence,model2_label,model2_confidence,label_binary,model2_label_binary
Cuoium,Orto Parisi,3.96,3232,"Animal notes, Woody Notes",Violet,"Leather, Incense, Cade oil, Cedar, Labdanum, Patchouli, Vanilla",190047 recdel,16.06.2024,"Часть первая. Эмоциональная. Уверен, что Алессандро Гуалтьери вряд – ли когда-нибудь ездил в командировки по «нашим северам», например в Воркуту, Лабытнанги или Нягань, и соответственно, никогда из них не возвращался. В этом аромате, он рассказывал историю про своего деда Винченсо… Точно также вахтовик из России начала конца 90-х начала 2000-х вряд ли бывал на севере италии. Север италии и север России. Казалось бы, что их может связывать… А вот данный ароматец. Вот ведь как получается иногда. Рассказ об одном, а услышать в нем можно совершенно другое. Итак, о чем этот аромат на мой взгляд… Он об эмоциях, связанных с проживанием в некомфортных условиях. О коммунальной неустроенности, тревожности за завтрашний день, о старых советских гостиницах и съемных квартирах. О студенческих общагах и дешевых хостелах. В общем, он напоминает мне о молодости. Вот такие стойкие ассоциации. И тем не менее, что - то в нем привлекает. Долго не мог понять, что? Копался в своих полузабытых, когда то пережитых, ощущениях и эмоциях… и таки докопался. Главное, о чем этот аромат для меня - он о дороге домой!. Причем о долгой и достаточно изнурительной дороге, когда едешь в поезде Воркута – Москва, в плацкартном вагоне. И с тобой в этом же вагоне возвращаются вахтовики… Густая смесь далеко не комплементарных запахов и откровенных зловоний сопровождают тебя около 3-х суток (так было в начале 2000 – х. Сегодня видимо побыстрей). К концу дороги ты уже привыкаешь к этому амбре, пропитываешься им насквозь и сам становишься его частью… Частью «дыма отечества». А как сказал поэт: «… дым отечества нам сладок и приятен». Необходимо отметить, что аромат не монотонен. Он весьма динамично меняется, создавая имитацию прохода через плацкартный вагон. Для полноты повествования перечислю основные «нотки», которые мне послышались в обсуждаемом аромате: Папиросные бычки, копченое мясо и колбаса, носки (без уточнения степени прожарки), антрацит, легкие фекальные ноты, пот, специфический запах немытого тела. Заявленными в средних нотах фиалками, не пахнет совершенно… Но это на первый взгляд. Если как следует вслушаться, то они все таки слегка прорываются. Тем не менее, сказать, что это смешение, на первый взгляд, зловонных ароматов, непереносим – нельзя… Все, кто так же как и я, имел счастье возвращаться домой подобным способом, я уверен, со мной согласятся… Причем, когда едешь «туда» - все это реально воняет и напрягает… А когда возвращаешься домой, почему то уже нет… Вот этот парадокс восприятия и создает некоторую, очень специфическую «приятность» данного аромата. Часть вторая. Попытка объективной оценки. Очевидно, что аромат не является «новым свежим словом». Скорее «крепким словцом». Как минимум трех прародителей данного творения можно без труда узнать. Я бы назвал два аромата, влияние которых угадывается. По моему мнению это в первую очередь кароновский ятаган, во вторую знаменитая терра, и третье - фарик… Некоторая «свежесть» состоит на мой взгляд, как раз в полном отсутствии намеков на свежесть. Вот такая игра слов. Т.е. если из терры убрать грейп фрукт, а из ятагана гальбанум, базилик и мяту, смешать получившееся, и добавить «пыльность, пудровость и кожанность» фарика то такое вот примерно и получится. Кстати попробовал, благо все трое есть в коллекции… Аромат получился куда приятней, но направление угадывается. Часть третья. Что с этим делать? А ничего… В том смысле, что одевать такое «в люди» совершенно неприемлемо, ибо скомпрометирует Вас раз и навсегда. Это аромат «для ольфакторных опытов»… Он создает очень атмосферные ассоциации, не всем понятные и приятные. Но надо отдать должное Алессандро Гуалтьери, ибо не все ароматы на это способны. P.S. хочу поблагодарить моего друга, Александра, предоставившего на растерзание данный аромат и подтолкнувшего меня к написанию отзыва.",neutral,mixed,0.6159,mixed,0.8017,not_liked,not_liked
Cuoium,Orto Parisi,3.96,3232,"Animal notes, Woody Notes",Violet,"Leather, Incense, Cade oil, Cedar, Labdanum, Patchouli, Vanilla",14870 Naxitrall,14.11.2021,"Друзья, для себя тему того, на что похож Cuoium, полагаю закрытой. Все, что нужно знать о новом аромате Гуальтьери, уже указано в рейтинге ""схожести"". Это, действительно, Nudiflorum, высаженный на кожаную горькую почву Complex и для быстроты всхода политый Laudano Nero. Всё. Зная эти три аромата, вы легко сможете представить себе Cuoium.  Не ищите здесь землистых и дымных аккордов Terroni. Дымность здесь иного рода. И уж тем более, никаких Black Afgano и Duro здесь нет и не будет. Вычищенный от фамильных стероидов Nudiflorum и некогда дикий, но уже объезженный Complex. Ради справедливости тороплюсь сказать, что мне понравился новый аромат Orto Parisi. Понравился, среди прочего, доступностью в восприятии. Мне сложно носить Complex именно из-за его этой вот звериной сущности. И я не только об анималике (впрочем, в изобутилхинолине ее в принципе в достатке). Он, действительно, для меня сложный. Дольше двух часов я его носить не могу, стремлюсь уничтожить. И ощущение после этого, как бы грубо это ни звучало - будто тебя Ведьмак вы**ал... А это такое себе чувство, знаете ли, пусть даже ольфакторное.  Nudiflorum же слишком громкий, даже при минимальном нанесении. Это не умаляет его красоты и даже где-то изящности, но опять-таки для меня это непростой аромат и отношения у меня с ним едва ли теплее, чем на ""вы"".  А Cuoium, очень удачно сплавив в себе эти два элемента, добавив алкогольной сладости и чуть подкопченой фруктовой дымности, которую я нахожу в упомянутом Laudano Nero, воплощает все сильные стороны названных ароматов в единое законченное и неделимое ольфакторное полотно. За это мастерство сеньору Алессандро отдельное уважение.  Это красивый аромат. И для многих он будет откровением. Кто-то уже назвал его ""закрытием кожаной темы"" в современной парфюмерии, вероятно, по аналогии с ""закрывающим акватическую тему"" Megamare.  Не соглашусь. Мои поиски идеального кожаного аромата продолжаются. Есть серьезная надежда на Corpus Equus. Хотя, с другой стороны, нужен ли этот ""идеальный""? Ведь это значило бы, что поиски завершены, останется лишь так ненавидимая мной ""стабильность""...  Не ждите от аромата какой-то бесконечной стойкости, как заявляют некоторые блогеры. Эта категория весьма индивидуальна. Cuoium тем и хорош, что не пытается поставить меня в неудобное положение, когда приходится регулировать дозировку, место и уровень нанесения и тд и тп. Я уверенно наношу его аромат на тело или волосы и чувствую весь день. И мне комфортно, нет неловкости. И да, он очень природный аромат. Вот именно сейчас, когда ноябрьский воздух пропитан запахами дыма от растопленных бань и саун в домах, от тонкого аромата яблочных и вишневых дров в мангале. Невероятно красивое ароматное и настроенческое полотно создал сеньор Гуальтьери. Полагаю, что в морозном воздухе аромат станет чуть более сдержанным. Но вот сейчас для него время просто идеально.  Cuoium это не революция. Это закономерная эволюция мастерства одного из самых талантливых и самобытных парфюмеров современности. UPD кстати, дамы, я просто не понимаю, как вы решитесь его носить... В моем понимании так может пахнуть только Grace Jones. Ни с одной иной представительницей отважного и прекрасного пола Cuoium у меня пока не монтируется... :) UPD через неделю носки вынужден признать, что начал чувствовать тот самый ""афганоподобный"" фирменный подтон. Однако, справедливости ради, он, скорее, представляет собой некую фазу в развитии аромата. Он со временем иссушается и практически исчезает, оставив лишь эффект застывшей древесной смолы.  А сегодня зашел в офис коллега и сходу: ""а че эт у вас тут никотином пахнет... Ну не никотином, но духами какими-то табачными противными..."" Вот такие вот открытия.",positive,liked,0.6016,mixed,0.6324,liked,not_liked
Chanel No 5 Eau de Parfum,Chanel,3.6,11565,"Aldehydes, Ylang-Ylang, Neroli, Bergamot, Peach","Iris, Jasmine, Rose, Lily-of-the-Valley","Sandalwood, Oakmoss, Vanilla, Patchouli, Vetiver",266887 Лиса Леденцовая,03.09.2021,"Глубокий двухдневный заныр в тему и тестинг Пятёрки на коже дал результаты и хотелки.  Сначала по делу: чем пахнет и отличие от других концентраций.  Шанель в концентрации парфвода наиболее насыщенная, пудровая и тёплая, чем прохладная белоцветочная туалетка. Ещё легче - Лё (цитрусы, альдегиды, минералка и мармеладные мишки, и корень ириса в финале). Место между Парфводой и Лё для меня занимает Премьер.  Самые заинтересовавшие меня и желанные в коллекцию: парфвода и туалетка.  Туалетка - это холодные нарциссы с мороза, ирисы и пряное молоко с пудрой. Это настолько прекрасно, но, к сожалению, не долго. Это аромат-кокон. Шлейф - первые полчаса. Далее часов на шесть хватит, но солирует тихо.  Теперь обстоятельно о парфводе. Начало почти как у туалетки, но насыщеннее в разы, не плотнее, нет. Напротив, прозрачнее, звонче, выше, ослепительнее и теплее. Очень чётко ощущаю корень ириса: пряный, пудровый. Пудра умопомрачительная просто. Вспомнился Ирис Дуситы, только здесь нет той яркой пряности (и понятно, что Ирис появился почти на сто лет позже, просто я познакомилась с ним раньше).  Для меня здесь мощные альдегиды (нравится), нарциссы (откуда, почему) и ирисы.  В базе - пудра, как будто парфюмированная и отдающая ладаном, но не дымным и не церковным.  Представляется ленивое французское утро в бледно-розовой комнате. Трюмо с косметикой, парфюмом. Комната-студия, где ванна отделена лишь ширмой. Много света и воздуха. Пудреница с пуховкой. Девушка - только из ароматной ванной с пузырьками пены.   Аромат чистоты, женственности и силы.  Наверное, все знают байки о характере Коко Шанель, её воле, трагедиях и об отношении к людям. Это не конфетная девочка и не матрона (сейчас речь не о возрасте или внешности, а об образе мышления и отношении к жизни). Это женщина, которая знает себе цену. Она может быть холодна и расчетлива, а может завести любовника на одну ночь и ни о чём не жалеть. Это женщина, которая просто живёт, но всё же, думает, прежде чем совершать даже, казалось, бы необдуманные поступки.  Чистота и аура золотого утра - когда вы выспались, проснулись без будильника, неспешно потянулись и завороженно смотрите на солнечный свет, пробивающийся сквозь тонкие занавески. Час ещё ранний, и есть в этих первых лучах какая-то магия.  Аромат и про объятия, и про одиночество, которого не боишься, потому что любишь себя.  P.S. Много лет не подходила к стенду Шанель. Не было интереса. Сейчас же, после того, как раздала пол-коллекции, ощутила пустоту, решила припасть к новому для себя - к альдегидам и шипрам, соответственно, к Шанель и Сислей. И - бинго! Я теперь поклонник обоих брендов и коплю деньги на остальное из обновленного виш-листа.",positive,liked,0.7537,not_liked,0.7514,liked,not_liked
Cuoium,Orto Parisi,3.96,3232,"Animal notes, Woody Notes",Violet,"Leather, Incense, Cade oil, Cedar, Labdanum, Patchouli, Vanilla",295300 Анастасия terracatt,30.09.2022,"Уууух, это прям кожа кожаная кожей погоняет!! Шикарный аромат, просто млею) В 90ые мои родители стали «челноками», так называли тех, кто тюками таскали в клетчатых сумках из заграницы вещи и продавал у нас с наценкой) это я объяснила для тех, кто помоложе и не застал те времена) Так вот, родители торговали кожей, дублёнками из Турции, Пакистана и Китая. Все эти тюки, набитые кожаными изделиями, стояли у нас в квартире. Каждое утро родители эти сумки возили на рынок, развешивали в палатке своей и продавали) ну это был начальный период, ещё до торговых центров) это потом они уже открыли магазины в тц. Про аромат:  cuoium от Orto Parisi - это тот самый аромат, когда я открывала такую сумку с кожаными куртками и опускала в неё свой нос))) Новая куртка из настоящей натуральной кожи - так пахнет Cuoium ))) Ещё так пахло на Пакистанской кожаной фабрике, где выделывали кожу и шили изделия, а потом продавали оптом) Мама брала меня с собой на такую фабрику. Подытоживая, Cuoium Orto Parisi - это мой флешбэк в детство))) Обожаю кожаные запахи! Но именно настоящие кожаные запах, брутальные, жёсткие, без всякой сладости сахара или розы. Кстати, в Cuoium мой нос совсем не чувствует ванили, что безусловно радует моё сознание)) Если уж кожаный аромат, то только такой, бескомпромиссный, настоящий, без заигрываний)) Отчётливо вижу его на своём мужчине осенью и, возможно, зимой. На себе смогу носить только один пшик на запястье, лишь для того, чтобы периодические пускаться в ностальгию)) Ну и стойкость и шлейфовасть Orto Parisi, как всегда, на самом высоком уровне! Дарила мужу Megamare Orto Parisi, там шлейф, звучание и стойкость - умри всё живое?? в хорошем смысле)) его поло и рубашки пахнут даже после химчистки, его футболки пахнут при глажке после стирки))) захожу в подъезд и знаю, что муж уже дома, так как подъезд даже на 1ом этаже заполнен его парфюмом от Orto Parisi) Так что эти парфюмы не для слабых носов, могут придушить)) P.S. Спустя день носки 2ух пшиков на запястье, была в спортзале, в душе, для интереса потёрла запястье с мылом, к вечеру от запястья пахло ванильной кожей, мягкой, тонкой, как дорогие перчатки) Если в начале это грубая кожа, то в остатке очень близко и очень нежно, сладко, но не приторно) Когда уже устаёшь от сильного дерзкого звучания кожи, то в остатке сладость эта успокаивает))) Шедевр!))",positive,liked,0.9748,liked,0.5827,liked,liked
Chanel No 5 Eau de Parfum,Chanel,3.6,11565,"Aldehydes, Ylang-Ylang, Neroli, Bergamot, Peach","Iris, Jasmine, Rose, Lily-of-the-Valley","Sandalwood, Oakmoss, Vanilla, Patchouli, Vetiver",337301 Фрагрантовик,02.03.2023,"Как любая классика, этот парфюм неизвестен большинству людей и вообще сколь либо пользователям парфюмерии. Ты знаешь его название, знаешь просто это ""слово"", на том и достаточно... Может быть раз - два нюхал тестер в ривгоше несколько лет назад.  Естественно, людям парфюмерно увлечённым хочется прослыть и не чуждым ""великой классике"", поэтому читал и слышал ни раз, как многие парфюмерные вещатели приличия ради имея эту вещь, отзывались о ней следующим образом: ""-На мне пятёрка раскрывается дорогим мылом, люблю наносить после душа"", ""-Имею аромат, как память о бабушке / родственнике. Для меня аромат рисует прошлое и является этакой машиной времени"", ""-Цветочная кондовая классика, запах дорогого ухода. Чувствую себя в ней дорого"". И так во всех этих, уж простите, похабных отзывах чувствуется, на самом деле, полное безразличие к аромату, как к таковому, к самой композиции. Желание просто заявить о себе, как о ценителе, при том не поняв и не прочувствовав сам аромат вне всяких пошлых наносных смыслов и ассоциаций. А между тем композиция эта действительно вневременная, по настоящему уникальная.     Пятёрка, во первых, очень ""плотный"" парфюм, абстрактный. Она гладкая и как будто бы даже мягкая, в то же время холодная, кристаллическая внутри. Всё слито в ней в безупречную, манерную и плавную, в духе модерна, мраморную скульптуру без единой зацепки и шероховатости. Её абстрактность не геометричная и не броская, призванная сбить с толку, запутать, а манящая, наполненная множеством смыслов, туманная. Есть в ней юность в истинном смысле: напор, в то же время невинность и чистота. Так же и некоторая, как будто бы и телесность, плоцкость намекающая на желание жить и радоваться тайным удовольствиям. За это отвечает мускус и древо в базе - характерный для всех ароматов Шанель ""грязный"" душок. Природность: талый снег, солнце, душная и головокружительная пыльца цветов, мясистая древесина с соком.    Я не утверждаю, что мои ассоциации универсальны, но с уверенностью говорю, что у каждого они будут столь же разнообразны, если вы позволите себе ""открыть"" этот аромат. И какими тупыми вам сразу покажутся сравнения пятёрки с мылом или дорогим уходом от губастых тёток, коллекционирующих Килиан и HFC, сходящих с ума по лост черри.",neutral,mixed,0.4867,mixed,0.7463,not_liked,not_liked
By the Fireplace,Maison Margiela,4.21,24439,"Cloves, Pink Pepper, Orange Blossom","Chestnut, Guaiac Wood, Juniper","Vanilla, Peru Balsam, Cashmeran",340182 theboydivision,19.03.2023,"Для меня By the fireplace стал проводником в мир парфюмерии. И, честно говоря, если бы жизнь вернула меня в тот момент, когда я решала для себя: покупать или не покупать, я бы задумалась. До появления By the fireplace жизнь была спокойнее, а все имеющиеся у меня парфюмы были приятнее.  By the fireplace перевернул мое представление о жизни. Теперь хочется иметь большую коллекцию духов, хочется узнавать новые, пробовать больше.  Теперь я знаю, какую ароматы мне нравится. Я это узнала благодаря Маржеле.  Здесь, в 30 миллиметрах, находится эссенция умиротворения и отчужденности. Это запах сладкого горящего смолистого дерева. Ещё чуть-чуть и станет углем. Полено, как спичка, то гаснет, то опять краснеет. Это свежесть зимнего утра. Из прикрытого окна в дом проникает сырость от подтаявшего снега. Тепло. На столе стынет ванильный кекс. В ближайшие дни дел не предвидится. Только лес и живая ель в теплом доме.  От By the fireplace чувствуешь полный комфорт и уют. Он обнимает тебя, как мягкое облачко. Зимой, вечером, в холод он идеален.  Но загвоздка в том, что в другую погоду начинает кусаться. Лишь на первый взгляд By the fireplace – какава с зефиром. Он очень капризный. Осенью легко может закоптить так, что осядет на слизистой на весь день. Он будет пахнуть так, будто вы погорелец. Этот запах не спутать ни с чем, сразу понятно, что это By the fireplace нагадил.  Летом разваливается на ноты: сначала пахнет только можжевельником, потом деревом, потом гарью с ванилью. Губит все живое.  Верю, что ранней весной, в марте, будет шикарен. То что, он такой интимный, как и все реплики, по моему мнению, только красит его. Это не тот аромат, которым нужно делиться. Таким настроением, которое дает это аромат, нужно «заболеть» — нужно проникнуться By the fireplace и понять его. То, что это очень прямолинейный и понятный бытовой запах, опять же, по моему мнению, делает его лучше. Это очень личная история. Я бы даже сказала сказка для вас, которую вы сами напишите вместе с Маржелой.  Я благодарна By the fireplace за то, что он каждый раз разный и такой интересный. Он дарит неповторимый опыт от использования. К нему из раза в раз рука тянется сама. Почему-то только с ним каждый день может стать в чем-то особенным.",positive,liked,0.7852,liked,0.9763,liked,liked
Chanel No 5 Eau de Parfum,Chanel,3.6,11565,"Aldehydes, Ylang-Ylang, Neroli, Bergamot, Peach","Iris, Jasmine, Rose, Lily-of-the-Valley","Sandalwood, Oakmoss, Vanilla, Patchouli, Vetiver",133673 Пуазон,08.01.2024,"90е годы, я подросток , брат едет зимой по работе в Париж и привозит миньку Шанель ?°5 edp маме. Мне - хрустальный шарик, с маленьким городком внутри, потрясешь - идёт снег. Кроме того, набор открыток с зимним Парижем, колготки с лайкрой, кожаные перчатки и красный портмоне. Все, ассоциации с чудесами навек обеспечены. Запах пятерки понравился сразу, это было ни на что не похоже , что то такое волшебное,лёгкое, дорогое, пудрово-пушистое, с мандаринками и слегка хвойным. Кроме того, в них уже тогда я чувствовала лёгкий запах дыма с морозом, когда у бабушки в деревне все топили печи, ты выходишь на прогулку - мороз, слепящее солнце, белые деревья, ёлки, сосны, и вот этот воздух с дымком. Мама тянула эту миньку долго, использовала только по праздникам. Новый год, Рождество, Старый новый год,  8 марта, Пасха  - красивое нарядное платье, украшения (чаще всего жемчуг или бижутерия с переливающимся хрусталём), и запах пятерочки. Естественно, я выросла, купила и себе, и ей по самому большому флакону Шанель. До сих пор мама использует лишь по праздникам и на выход (театр, выставки, мероприятия у внуков), я использую по настроению, когда захочу. Но всегда этот аромат придает настроению чего- то праздничного и веселого.  Ниже в отзывах приятно было встретить аналогичные ассоциации и даже манеру использования - праздники и нарядные платья))) такая вот она, французская пятерка, ставшая олицетворением русских зимних праздников и топящихся печей, церквей и морозов )))  пс: коммент про губастых теток , коллекционирующих всю модную нишу и рассказывающих про бабок и мыло в пятерке - шикарен. В точку! На моей работе подобная губасто-бровястая работница с ужасающе расписными ногтями, распространяя тяжёлый запах уда, фруктов и бинтов , любит рассказать нам о немодности люксового парфюма, золотых украшений советского периода (это вообще ужас и кошмар, лучше уж ""захудаленькая Пандора"", с ее слов) и про ""бабок"" в Шанель. Мы дружно успокаиваем, что она у нас самая модная, красивая , а мы не претендуем, и будем тихонечко в сторонке сидеть в своих стареньких золотых украшениях  в капельке Шанель и Герлен)))",positive,liked,0.9172,liked,0.9726,liked,liked
Cuoium,Orto Parisi,3.96,3232,"Animal notes, Woody Notes",Violet,"Leather, Incense, Cade oil, Cedar, Labdanum, Patchouli, Vanilla",334842 Alexlost,02.03.2024,"С кожаными ароматами тосканского направления мне не повезло - не люблю сочетание кожи и малины. Поэтому ищу другие профили. В куоюме кожа анималистична, прокурена сигаретным дымом, присыпана землей, обладает солеными оттенками серой амбры и плотской сладостью чернослива.   Куоюм: Вы договорились встретиться выпить с друзьями сегодня около восьми вечера. После работы ты поехал напрямик в бар. Паркуясь, ты обратил внимание на лавку старьевщика, что располагалась напротив бара - раньше ее там не было. До встречи оставалось полчаса, ты решил убить время и посмотреть безделушки. Прозвенев колокольчиком, ты отворил дверь, внутри никого не было. Из кучи разного барахла тебя привлекла необычная темно-коричневая воловья кожаная куртка, выставленная под светом софитов в самом углу. Она была вся в заломах, трещинах, манжеты засалены, местами проступали потертости, но это лишь придавало шарма ее винтажному виду. От времени воротник превратился в стойку и уже не складывался обратно, стальная молния чуть заедала. У куртки был очень странный запах: пыльных дорог, деревянных лавок вокзалов, подземных переходов, сидений такси и пассажирских велюровых кресел большегрузов. Запах странствий и скитаний.  Из подсобки вышел владелец: «Эта куртка - сказал он - последнее, что связывало Фила с нашим городом, с его домом. Эйприл подарила ее на первую годовщину. Она тяжело заболела и слегла лет пять назад. Фила это подкосило, он заложил бизнес, потратил все сбережения на лечение жены, все тщетно. Он не смог оплатить аренду, потерял дом, скитался месяцами по округе в поисках работы. Ему пришлось продать машину, чтобы раздать долги.  Все, что у него осталось и имело хоть какую-то цену - эта куртка. Я дал за нее значительно больше ее реальной стоимости, что позволило ему оплатить билеты до Портленда и пару недель жить в мотеле, попытаться начать новую жизнь. Теперь Фил в самых верхах, даже вон фонд основал. Поэтому эта куртка не продается - это символ того, что даже все потеряв, ты можешь начать все сначала».  тг Лиоша Грин",neutral,mixed,0.5877,not_liked,0.7515,not_liked,not_liked
Cuoium,Orto Parisi,3.96,3232,"Animal notes, Woody Notes",Violet,"Leather, Incense, Cade oil, Cedar, Labdanum, Patchouli, Vanilla",237948 LiquidSword,03.03.2024,"Этот парфюм как пятно Роршаха. Если ты латентный гей - ты услышишь здесь мужицкую жопу в кожаных труселях, которая так и манит, манит... Если ты алкаш - услышишь перегар сторожа или бича в метро. Если ты курильщик - услышишь пепельницу, в которую напудил Гуалтьери. Если ты dungeon master - то услышишь здесь 300 bucks, и запах того, что стоит эти самые 300 баков.    А если ты парфманьяк и разбираешься в пирамидах, то ты услышишь здесь чёрную изобутиленхининовую кожу, ладан, животину (а не волосатое брюхо гей-медведя) мазут, немного креозота и.... если вслушаться в упор, то парфюмерную блевоту Алессандро, его тппичный почерк. Очень сильно смердит крышечка, настолько сильно, что меня начинает трясти от этой вони, поэтому крышек Орто Париси я боюсь больше, чем содержимого флаконов.   Этот аромат о коже, он очень сильный, брутальный, всё выше перечисленное мною здесь может и есть, он многогранен и выдает скрытые грани вашего Я. Но но самом деле он похож очень на Комплекс от Боудикки-Победительницы. Когда-то давным-давно я писал отзыв на Комплекс и писал, что это запах олигарха, едущего вдоль торфяников и вышек на своём Роллсе. Я немного не то имел в виду, это не запах такого нефтяника, нефтяники не заморачиваются такой высокой нишей. Это запах исходящий из окна, запах торфа, нефти, который смешивается с кожей сидений Роллса, ну и запах хозяина, слегка вспотевшего. Это Комплекс Боудикки. Он суще и травянее, чем Куоиум.  А вот Куоиум - это его родной брат, только он гуще, влажнее, но это братья. Если в Комплесе уставший (хотя от чего, от роскошной жизни?) олигарх едет с вышки, и ветер доносит в окно всякие ароматы, то Куоиум - это уже спустя пару километров олигарх достал флягу с коньяком и решил присосаться, но машину тряхануло и его коньяк 100-летней выдержки вперемежку со солюнями разлился по его костюму. Когда приедет домой - шофёра за такую оплошность вероятно скормят собакам. Но это уже совем другая история...    А! И ещё!  ""Этот зал не для кожаных мужиков!"" ""Пошёл ты!""  ...",negative,not_liked,0.5459,not_liked,0.7514,not_liked,not_liked
Chanel No 5 Eau de Parfum,Chanel,3.6,11565,"Aldehydes, Ylang-Ylang, Neroli, Bergamot, Peach","Iris, Jasmine, Rose, Lily-of-the-Valley","Sandalwood, Oakmoss, Vanilla, Patchouli, Vetiver",314717 Xromanin,14.12.2024,"Заполучил месяц назад пробничек EDP, по факту первое осознанное знакомство, красиво с первого вздоха. С места нанесения очень альдегидно и цветочно(в основном белоцветочно), но чем пятёрка меня поразила, так это изумительным, даже неповторимым шлейфом. Не буду, да и нет смысла выдумывать волшебные или заумные описания, лучше просто хоть один раз уловить это лично. Вчера утром нанёс одну маленькую каплю на предплечье, весь день этот аромат не покидал меня, при этом перебивая все остальные, прошло больше суток, сейчас поднёс руку и удивился, у него очень активная база: миндаль, ваниль, пудра, мох. Как будто только-только нанёс хороший уходовый крем. Стойкости и шлейфу даже творения Гуальтьери позавидуют. Если честно, то не понял, почему для многих это звучит, как ""вызов"" и почему с №5 сложно подружится. Мне было бы приятно и ""понятно"" услышать такой аромат, как от роскошного вида дамы, так и от молодой панкушки-альтушки, отнюдь не для бунта и вопреки. №5 буквально не пахнет для меня, как адресованный, кому то конкретному. Ретро нет, это просто красиво. Вызов показаться красивым ? Ну-ну. Если вам просто не по душе композиция и вам упорно кажется, что вы пахнете бабульками, то зачем себя мучить лишний раз... Носил пару раз на выдох, мне понравилось, но всё равно смущает. Всё же, он очевидно более феминный, здесь исключительно в хорошем смысле, но для меня увы.  Давал вслепую попробовать и оценить разным девушкам (распылял на них), мнения разделились, кто то говорил, что ""-ой фу, зачем пахнуть каким то сладким кремом для рук"", а кто то удивился, ""-это что такое необычное красивое, как будто ящик дорогущего мыла уронили в джакузи, это мне надо"". И правда, по большому счёту пахнет, как дорогое итальянское или французское мыло.  Не исключаю, а даже почти уверен, что другие версии могут транслировать кардинально разные ощущения, учитывая сколько фланкеров, лимиток, всяких перевыпусков и вариаций у №5. Говорю только за EDP и свои впечатления.",neutral,mixed,0.4833,liked,0.9555,not_liked,liked
